ID,Age,Income,Sex,Marital status,Education,Occupation,Settlement size,Segment,SegmentLabel
100000001,67,124670,0,0,2,1,2,0,well-off
100000002,22,150773,1,1,1,1,2,3,standard
100000003,49,89210,0,0,1,0,0,1,fewer-opportunities
100000004,45,171565,0,0,1,1,1,2,career-focused
100000005,53,149031,0,0,1,1,1,2,career-focused
100000006,35,144848,0,0,1,0,0,1,fewer-opportunities
100000007,53,156495,0,0,1,1,1,2,career-focused
100000008,35,193621,0,0,1,2,1,2,career-focused
100000009,61,151591,0,1,2,0,0,0,well-off
100000010,28,174646,0,1,1,2,0,2,career-focused
100000011,25,108469,1,1,1,1,0,3,standard
100000012,24,127596,1,1,1,1,0,3,standard
100000013,22,108687,1,1,1,1,2,3,standard
100000014,60,89374,0,0,2,0,0,1,fewer-opportunities
100000015,28,102899,1,1,1,1,1,3,standard
100000016,32,88428,1,1,1,0,0,3,standard
100000017,53,125550,0,0,1,1,0,1,fewer-opportunities
100000018,25,157434,0,0,0,1,2,2,career-focused
100000019,44,261952,1,1,2,2,2,0,well-off
100000020,31,144657,0,0,0,1,1,2,career-focused
100000021,48,118777,0,0,1,1,1,2,career-focused
100000022,44,147511,0,0,1,1,1,2,career-focused
100000023,48,89804,0,0,1,0,0,1,fewer-opportunities
100000024,44,134918,0,0,1,1,2,2,career-focused
100000025,26,103667,0,1,1,1,2,2,career-focused
100000026,36,71909,0,0,1,0,0,1,fewer-opportunities
100000027,39,68264,0,1,1,0,0,1,fewer-opportunities
100000028,42,163025,1,1,2,1,1,0,well-off
100000029,34,119307,0,0,1,1,1,2,career-focused
100000030,63,175882,0,0,2,1,0,0,well-off
100000031,36,159646,0,1,1,1,1,2,career-focused
100000032,27,120131,0,0,0,1,1,2,career-focused
100000033,30,162745,0,0,0,1,2,2,career-focused
100000034,57,87605,0,0,2,0,0,1,fewer-opportunities
100000035,33,155569,1,1,1,2,1,3,standard
100000036,25,104505,0,0,0,0,0,1,fewer-opportunities
100000037,31,143385,0,0,0,1,2,2,career-focused
100000038,37,127676,0,0,1,1,1,2,career-focused
100000039,37,119276,0,0,1,1,1,2,career-focused
100000040,24,92542,0,0,0,1,1,2,career-focused
100000041,30,163329,0,0,0,2,1,2,career-focused
100000042,26,130921,0,1,1,1,0,3,standard
100000043,44,133658,0,0,1,0,0,1,fewer-opportunities
100000044,24,155104,0,1,1,1,1,2,career-focused
100000045,58,142335,1,1,2,0,1,0,well-off
100000046,35,138387,1,1,1,2,1,3,standard
100000047,39,140182,0,0,1,1,0,1,fewer-opportunities
100000048,23,65421,1,1,1,0,0,3,standard
100000049,39,130500,0,0,1,0,0,1,fewer-opportunities
100000050,28,122831,1,1,1,1,0,3,standard
100000051,29,84531,0,0,0,0,0,1,fewer-opportunities
100000052,30,180196,0,0,0,2,2,2,career-focused
100000053,25,92058,0,0,0,1,2,2,career-focused
100000054,31,117158,0,0,0,1,0,1,fewer-opportunities
100000055,57,135830,0,0,2,1,1,0,well-off
100000056,26,58258,0,0,0,0,0,1,fewer-opportunities
100000057,52,202575,0,0,1,2,2,2,career-focused
100000058,31,183657,1,1,1,1,1,3,standard
100000059,23,152267,1,1,1,2,1,3,standard
100000060,23,115240,1,1,1,0,0,3,standard
100000061,27,106955,0,1,1,1,2,2,career-focused
100000062,50,123641,0,0,1,1,1,2,career-focused
100000063,61,166410,0,0,2,2,1,0,well-off
100000064,25,227385,0,0,0,1,2,2,career-focused
100000065,26,118372,1,1,1,1,1,3,standard
100000066,48,148115,0,0,1,1,1,2,career-focused
100000067,29,111069,1,1,1,1,0,3,standard
100000068,22,139780,0,1,1,1,0,3,standard
100000069,37,106978,0,0,1,1,2,2,career-focused
100000070,25,110019,1,1,1,1,2,3,standard
100000071,30,169102,1,1,1,1,1,3,standard
100000072,46,73703,0,0,1,0,0,1,fewer-opportunities
100000073,51,141858,0,0,1,2,2,2,career-focused
100000074,41,135959,1,1,2,0,0,3,standard
100000075,40,140888,0,0,1,2,2,2,career-focused
100000076,66,157299,0,0,2,2,2,0,well-off
100000077,34,125187,0,0,1,1,1,2,career-focused
100000078,51,155486,0,0,1,1,2,2,career-focused
100000079,39,151697,0,0,1,0,0,1,fewer-opportunities
100000080,22,126400,0,1,1,1,1,3,standard
100000081,44,159246,1,1,2,1,2,0,well-off
100000082,47,136138,0,0,1,1,1,2,career-focused
100000083,24,84792,1,1,1,0,0,3,standard
100000084,58,100210,1,1,2,0,0,0,well-off
100000085,52,93706,0,0,1,0,0,1,fewer-opportunities
100000086,29,133783,1,1,1,2,1,3,standard
100000087,27,110064,1,1,1,1,2,3,standard
100000088,47,241068,0,0,1,1,1,2,career-focused
100000089,30,149022,0,0,0,2,2,2,career-focused
100000090,28,92973,0,0,0,1,2,2,career-focused
100000091,56,110605,0,0,1,1,1,2,career-focused
100000092,54,116604,0,0,1,1,1,2,career-focused
100000093,33,71070,1,1,1,0,0,3,standard
100000094,20,128678,0,0,0,1,1,2,career-focused
100000095,54,165230,0,0,1,1,2,2,career-focused
100000096,58,268340,0,0,2,1,1,0,well-off
100000097,61,135070,1,1,2,1,1,0,well-off
100000098,34,134794,0,0,1,1,2,2,career-focused
100000099,36,120153,0,0,1,1,1,2,career-focused
100000100,36,195465,0,0,1,2,2,2,career-focused
100000101,41,93372,0,1,1,0,0,1,fewer-opportunities
100000102,24,110446,0,0,0,1,0,1,fewer-opportunities
100000103,24,95186,1,1,1,1,1,3,standard
100000104,35,115343,0,0,1,1,1,2,career-focused
100000105,26,107276,0,1,1,1,1,3,standard
100000106,39,244716,0,0,1,2,2,2,career-focused
100000107,39,183108,0,0,1,2,2,2,career-focused
100000108,32,152876,0,0,0,1,2,2,career-focused
100000109,30,165147,1,1,1,1,0,3,standard
100000110,35,140520,0,1,1,1,0,3,standard
100000111,31,124203,0,1,1,1,1,2,career-focused
100000112,23,107205,1,1,1,1,1,3,standard
100000113,28,121432,0,0,0,0,2,2,career-focused
100000114,25,162445,1,1,1,1,0,3,standard
100000115,35,134112,0,1,1,1,1,2,career-focused
100000116,47,131842,0,0,1,1,1,2,career-focused
100000117,30,189896,1,1,1,2,0,3,standard
100000118,27,109099,1,1,1,1,2,3,standard
100000119,23,153539,1,1,1,1,1,3,standard
100000120,36,180495,0,1,1,2,1,2,career-focused
100000121,25,104653,1,1,1,1,2,3,standard
100000122,41,166933,1,1,2,2,2,0,well-off
100000123,24,66118,0,0,0,0,0,1,fewer-opportunities
100000124,63,135754,0,0,2,1,0,0,well-off
